Common Name,Trevally (L),Rock fish (L),Sail fish,Skipjack tuna,Yellowfin tuna,Sardinella,Sharks,Herrings,Indian Mackerel,Pony fish,Katuwalla,Anchovy,"Prawns (M) 3""",Marlins,Frigate tuna,Atawalla,Red Bream,Big eye scade,Ginnati Paraw,Needle fish,Indian Anchovies,Barracuda,Indian Scad,Rainbow Runner,Threadfin  Bream,White Sardinella,Squids /Cuttle fish,Sea Crabs,Tilapia (M)
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 4th week of Aug.,1750,1900,2433.33,935.71,1650,685.71,1300,1050,1235.71,537.5,616.67,680,1550,2475,,,,1050,1353.13,1140,1357.14,,,858.33,1366.67,450.71,1635.71,,500
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,1750.0,1900.0,935.71,1650.0,685.71,1300.0,1050.0,1235.71,537.5,616.67,680.0,1550.0,2475.0,700.0,,,,1353.13,1140.0,1357.14,1583.33,,,450.71,1635.71,2175.0,500.0,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 4th  week of Aug.,1183.33,1428,1960.67,854.17,1350,478.57,1125,553.57,857.14,442.86,550,485.77,1471.43,2400,,,,910,1375,1100,1166.67,,,657.14,1200,341.67,1400,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,,,,,,,,, , ,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, ,,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th  week of Aug.,1128.57,1028.57,1816.67,775,1185.71,325,900,683.33,885.71,340,433.33,412.5,1671.43,2266.67,,,,750,1040,1007.14,1178.57,,,583.33,853.33,250,1600,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
   , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
2021 4th week of Nov.,750,900,1470,466.67,931.25,235.71,750,468.33,441.67,170,312.5,276.67,964.29,1630,,560,,418.57,600,600,1050,,,485.71,533.33,166,1041.25,,420
 Last Year,0.14000000000000007,-0.06707317073170736,1.2857142857142858,0.41642,0.46484375,-0.009615384615384616,0.32653061224489793,0.09868421052631579,-0.00951111111111105,,0.125,0.27058823529411763,0.04,0.9683908045977011,,,,,0.25172413793103454,0.5466666666666666,,,,0.18064516129032257,,-0.35715,,,
 2019.0,0.15151515151515152,,,0.08288990825688071,0.5072347266881029,0.10358719410277284,,-0.040229885057471264,-0.4211428571428571,-0.3333333333333333,,-0.22857142857142856,-0.09,1.0068437767335028,,-0.044,,-0.24444444444444444,1.0166666666666666,0.12077294685990338,0.09803529411764711,,,0.016666666666666666,0.28570454545454554,-0.14286666666666673,0.24285714285714285,,0.515625
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 1st week of Dec.,760,637.5,1600,472.14,937.5,257.5,650,417.5,334.29,100,225,270,910,1712.5,,478,,340,605,580,933.33,,,457.5,565.71,128.57,1087.5,,485
 Last Year,0.04999999999999995,0.05882352941176465,0.8709677419354839,0.17642000000000002,0.4920571428571429,-0.1472333333333333,0.5,0.17466363636363624,-0.043159183673469395,-0.5513513513513514,0.4166499999999999,-0.168,-0.04848807339449549,0.9088372093023255,,0.5476071428571428,,0.19896428571428565,-0.19428571428571434,0.2199919999999999,0.5,,,-0.0711265306122448,0.5300000000000001,-0.3170731707317073,1.1789473684210525,,
 2019.0,0.162109375,0.36363636363636365,0.9333333333333333,-0.14937093275488073,0.25332800000000005,0.02332000000000005,,-0.04640556158257143,-0.25579047619047623,0.10666666666666667,,-0.13333333333333333,-0.10897938144329901,1.0727272727272728,,-0.13334000000000004,,-0.2826709401709402,,-0.08901433691756275,0.024390243902439025,,,-0.10050513434676404,-0.15,-0.15151515151515152,0.21052631578947367,,
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 2nd week of Dec.,743.75,750,1450,392.14,783.33,255.83,600,430.71,390.71,166,283.33,260,864.29,1710,,433.33,,335.71,470,508.33,1050,,,379.29,510,140,1035,,
 Last Year,0.32911392405063283,0.225005,0.8818181818181817,0.680745341614907,1.1226415094339623,-0.09142857142857148,1.121951219512195,0.1672727272727272,0.131063829787234,-0.6190571428571429,,-0.021052631578947427,-0.021739130434782608,0.8534653465346536,,1.4719999999999998,,0.3282153846153847,-0.026310526315789597,0.5063291139240507,0.4726482758620691,,,0.2613636363636363,,-0.26188571428571433,1.2763157894736843,,-0.16417910447761194
 2019.0,0.48936170212765956,0.48485454545454537,1.194447094742868,0.12281225881942884,0.36158161320189525,0.30330005409924743,0.3023874108538273,-0.05309734513274336,-0.12277227722772277,-0.11113333333333325,,-0.1308492443995851,-0.012540732694776286,0.9299048655870745,,0.25609756097560976,,0.0658518518518519,-0.053708165175625704,0.34572759759352245,-0.029390909090909023,,,0.17299449643663287,0.031746031746031744,-0.10404383713671361,0.5087139129585445,,-0.3034825870646766
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
2021 3rd week of Dec.,875,816.67,1380,451,750,265,725,428,443,133.33,383.33,310,900,1560,,515,,431.67,616.67,595,1067.67,,,462.5,650,129.17,1081.25,,280
 Last Year,0.19272727272727272,,0.9222266666666668,0.9555428571428572,1.140625,-0.16883636363636367,0.5000000000000001,0.4112,0.2701181818181817,-0.7419354838709677,1.3076923076923077,-0.12821538461538468,-0.042738461538461496,1.0612204081632652,,1.8615384615384618,,0.1960999999999999,0,0.6304347826086958,0.3434782608695653,,,0.016666666666666666,0.43399999999999994,-0.5031578947368421,1.2777777777777777,,0.3333333333333333
 2019.0,0.5185185185185185,,1.1149089735502518,0.3247225806451614,0.6104914702729137,0.0884285714285714,-0.20213190355370445,-0.02,-0.1532545454545455,-0.3023093560315357,0.022727272727272728,-0.05556666666666672,0.00900540540540545,1.186142857142857,,0.32856193884329393,,0.001301369863013683,0.0,0.34408602150537637,-0.10434782608695652,,,0.059027777777777776,-0.08076923076923077,-0.2185430463576159,0.24242424242424243,,0.20320855614973263
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
 1st  week of Dec,1235.77,1200,1608.33,914.29,1150,400.83,875,550,653.57,292.86,430,400,1271,2014.29,,,,632.24,996.03,914.29,1342.86,,,721.43,1033.33,270,1442.86,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  ,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 1st week of  Dec.,970,860,1550,520.83,1008.33,337.5,716.67,518.33,555,341.67,,325,1358.5,1716.67,,,,529.17,693.75,690,1080,,,495,660,206.67,1687.5,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Average of 1st week of  Dce.,2680,,2930,1313.33,2463.33,696.67,,1135,,480,,,,3495,1160,,,1180,,1350,,2240,,,,438,,,
  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,,, ,, , ,,,, ,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd week of  Dec.,1166.67,1075,1420,671.43,1058.33,414.29,895,653.57,653.57,416.67,433.33,400,1442.86,1778.57,,,,670,900,821.43,1233.33,,,664.27,795.83,254.09,1552.14,,600
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd  week of Dec,1116.67,1050,1535.71,750,995.83,302.14,970,478.57,621.43,305,450,350,1285.71,1928.57,,,,537.5,835,857.14,1371.43,,,682.14,781.25,217.14,1414.29,, 
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  ,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 3rd week of  Dec.,1250,1185.71,1608.33,783.33,1092.86,416.43,1316.67,685.77,750,362.5,554.17,500,1441.67,2057.14,,,,750,1125,895.86,1260,,,735.77,890,269.29,1658.3,,550
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3rd  week of Dec,1321.43,1258.33,1625,728.57,1103.57,389.29,1103.33,717.86,887.5,275,575,562.5,1278.57,1785.71,,,,782.14,933.33,1133.33,1446.67,,,725,1080,249.17,1671.43,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  ,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 4th week of  Dec.,1360,1500,1792.86,825,1414.29,535.71,1110,721.43,800,420,500,501,1480,2242.86,,,,771.43,1075,890,1542.86,,,735.71,1000,304.29,1572.86,,600
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,, ,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th  week of Dec,1340,1225,1725,883.33,1320,383.33,1000,720.83,770.83,329.17,525,450,1391.67,2033.33,,,,775,1120,1066.67,1400,,,731.67,1100,290,1558.33,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  ,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
2022 1st  week of Feb.,750,737.5,1075,466.43,762.5,237.5,700,511,458.33,200,357.5,341.67,939.29,1185,,561,,447.58,608.33,730,1016.67,,,487.5,558.33,130.71,1083.33,,
 Last Year,0.27147216494845366,,0.49539726027397274,0.2081557299161079,0.34329160174090584,0.4976883505893079,,0.01685488305206609,0.22812195121951212,0.09088429808413455,0.18518518518518517,0.026119402985074626,0.196425,0.2728924377852794,,0.3953488372093023,,0.23882812499999995,-0.1951180249659755,0.1937365417180608,0.022723553732531928,,,0.04854368932038835,,0.367513443352494,0.5775648269081198,,
 2020.0,0.401509090909091,,0.6272894409937889,0.63003663003663,0.6592920353982301,0.1596833560227902,,-0.07754436450839332,-0.05440375586854465,0.2549019607843137,0.3651877133105802,-0.03508771929824561,-0.08843809523809525,0.4613671185960576,,0.5,,-0.08222560916790472,-0.05821917808219178,0.02882882882882883,0.171875,,,-0.08302578848461524,,0.04424778761061947,0.5789550989233728,,-0.3403693931398417
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 2nd  week of Feb.,770.83,700,1091.64,445,750,230,,480.83,503.53,160,400,275,957.14,1135,,600,,475.71,550,571,937.5,,,405,,147.5,1075,,250
 Last Year,0.7878727272727274,,0.5509305555555557,0.5600835662153729,0.9471940686989786,0.791191402386761,,0.23467393871722753,0.49038461538461536,0.3,0.28416393442622956,0.018518518518518517,0.2866043613707165,0.5294117647058824,,0.6923076923076923,,0.6545726628455261,0.2580198767140522,0.4858350392920821,-0.025,,,0.34527941453439875,0.6025984606479,1.0456986301369862,0.6014211374382545,,0
 2020.0,0.8042752293577983,,0.6625277293909213,0.8253968253968254,0.7075026369028062,0.35835000000000006,,0.19082135608665035,0.06765855590570158,0.3684210526315789,0.37428070175438605,-0.16981132075471697,0.039925064963841815,0.5116279069767442,,0.5529411764705883,,0.13346228239845262,0.4358974358974359,0.2656329102056887,0.08333333333333333,,,0.19402985074626866,,0.2503851564069931,0.7146533925389598,,0.0
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st week of Feb.,1135.71,1325,1753.57,632.14,1245.83,309.29,933.33,739.29,711.43,218.75,433.33,466.67,1357.14,2085.71,,,,585.71,1100,920,1242.84,,,640,971.43,228,1500,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 1st week of Feb.,1250,1800,1466.67,637.5,1216.67,422.5,1020,729.12,925,308.33,533.33,525,1545.83,1700,,,,937.5,1333.33,1020,1466.67,,,783.33,1260,325.83,1750,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd week of Feb.,1200,1183.33,1557.14,721.43,1178.57,416.43,957.14,729.17,807.14,371.43,530,485.71,1557.14,1871.43,,,,850,1116.67,971.43,1185.71,,,721.43,1000,329,1600,,400
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd week of Feb.,1057.14,1041.67,1671.43,585.71,1166.67,372.5,941.67,692.86,720.83,310,500,420,1485.71,1921.43,,,,614.29,920,835.71,1200,,,628.57,928.57,282.86,1542.86,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
2022 2nd  week of Feb.,770.83,700,1091.64,445,750,230,,480.83,503.53,160,400,275,957.14,1135,,600,,475.71,550,571,937.5,,,405,,147.5,1075,,250
 Last Year,0.7878727272727274,,0.5509305555555557,0.5600835662153729,0.9471940686989786,0.791191402386761,,0.23467393871722753,0.49038461538461536,0.3,0.28416393442622956,0.018518518518518517,0.2866043613707165,0.5294117647058824,,0.6923076923076923,,0.6545726628455261,0.2580198767140522,0.4858350392920821,-0.025,,,0.34527941453439875,0.6025984606479,1.0456986301369862,0.6014211374382545,,0
 2020.0,0.8042752293577983,,0.6625277293909213,0.8253968253968254,0.7075026369028062,0.35835000000000006,,0.19082135608665035,0.06765855590570158,0.3684210526315789,0.37428070175438605,-0.16981132075471697,0.039925064963841815,0.5116279069767442,,0.5529411764705883,,0.13346228239845262,0.4358974358974359,0.2656329102056887,0.08333333333333333,,,0.19402985074626866,,0.2503851564069931,0.7146533925389598,,0.0
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3rd week of Feb.,1010.71,971.43,1435.71,582.14,1028.57,347.86,900,561.43,664.29,417.86,400,390,1521.43,1600,,,,680,1000,850,1114.29,,,657.14,917.86,248.57,1400,,500
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,, ,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3rd week of Feb.,1214.29,1166.67,1778.57,639.29,1321.43,367.86,900,728.57,839.29,339.29,590,450,1485.71,1964.29,,,,765,1120,1025,1428.57,,,733.33,1000,260,1628.57,,350
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
2022 3rd  week of Feb.,983.33,925,1116.67,575,987.5,271.67,,575,620,195,391.67,275,1032.5,1300,,660,,586,700,675,975,,,500,747.5,186.67,1212.5,,350
 Last Year,0.5151454545454546,,0.6404465597907427,0.827594360535572,1.173913043478261,0.6,0.6,0.3597085201793721,0.526829268292683,0.42857142857142855,0.21365015511539912,0.6229774258594403,0.2557077625570776,0.7519576694579942,,,,0.5130566352750894,0.26666000000000006,0.3326226012793177,0.024930747922437674,,,0.42857142857142855,0.44181152235060805,0.5940000000000001,0.7509025270758123,,
 2020.0,0.3751320132013202,,0.8514623976625987,1.0084778795556422,0.7322834645669292,-0.033962264150943396,0.23076923076923078,0.14151529411764696,0.13818181818181818,0.3333333333333333,0.06801068010680111,-0.017857142857142856,0.060240963855421686,0.7148323699421965,,0.36362682778442107,,0.04035874439461883,-0.06173333333333327,0.041666666666666664,0.15625,,,0.06762325710503281,,-0.24552837427133675,0.6348241131500534,,
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th week of Feb.,916.67,1025,1178.57,597.86,1058.33,316,,721.43,745.83,308.33,500,478.57,1342.86,1333.33,,,,667.5,970,806,1100,,,678.57,810,257.14,1375,,500
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Average of 4th  week of  February,2220,,2583,1206.67,2196.67,580,,950,,,,,,3183.33,880,,,990,,1120,,2083,,,,370,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 4th week of Dec.,820,,1441.67,513.33,856.25,228.57,500,441,465.71,100,225,283.33,933.33,1683.33,,620,,438.57,600,625,1030,,,457.5,597.5,118,1025,,450
